state,zip_code,locations,active_locations,inactive_locations,unknown_status_locations,kroger_banner_locations,brands
OH,43068,2,2,0,0,2,1
OH,43081,2,2,0,0,2,1
OH,43085,2,2,0,0,2,1
OH,43110,2,2,0,0,2,1
OH,43123,2,2,0,0,2,1
OH,43147,2,2,0,0,2,1
OH,43207,2,2,0,0,2,1
OH,43214,2,2,0,0,2,1
OH,43228,2,2,0,0,2,1
OH,43230,2,2,0,0,2,1
OH,43302,2,2,0,0,2,1
OH,43420,2,2,0,0,2,1
OH,43560,2,2,0,0,2,1
OH,43613,2,2,0,0,2,1
OH,45011,2,2,0,0,2,1
OH,45039,2,2,0,0,2,1
OH,45040,2,2,0,0,2,1
OH,45069,2,2,0,0,2,1
OH,45140,2,2,0,0,2,1
OH,45150,2,2,0,0,2,1
OH,45209,2,2,0,0,2,1
OH,45231,2,2,0,0,2,1
OH,45238,2,2,0,0,2,1
OH,45255,2,2,0,0,2,1
OH,45342,2,2,0,0,2,1
OH,45424,2,2,0,0,2,1
OH,45459,2,2,0,0,2,1
OH,45503,2,2,0,0,2,1
OH,45601,2,2,0,0,2,1
OH,45750,2,2,0,0,2,1
OH,45840,2,2,0,0,2,1
OR,97015,2,2,0,0,0,1
OR,97225,2,2,0,0,0,2
SC,29407,2,2,0,0,0,1
SC,29466,2,2,0,0,0,1
SC,29485,2,2,0,0,0,1
SC,29708,2,2,0,0,0,1
SC,29910,2,2,0,0,2,1
SC,29928,2,2,0,0,1,2
TN,37027,2,2,0,0,2,1
TN,37040,2,2,0,0,2,1
TN,37042,2,2,0,0,2,1
TN,37066,2,2,0,0,2,1
TN,37076,2,2,0,0,2,1
TN,37122,2,2,0,0,2,1
TN,37128,2,2,0,0,2,1
TN,37129,2,2,0,0,2,1
TN,37204,2,2,0,0,2,1
TN,37221,2,2,0,0,2,1
TN,37604,2,2,0,0,2,1
TN,37922,2,2,0,0,2,1
TN,38017,2,2,0,0,2,1
TN,38018,2,2,0,0,2,1
TN,38104,2,2,0,0,2,1
TN,38117,2,2,0,0,2,1
TN,38134,2,2,0,0,2,1
TN,38138,2,2,0,0,2,1
TN,38401,2,2,0,0,2,1
TX,75002,2,2,0,0,2,1
TX,75028,2,2,0,0,2,1
TX,75078,2,2,0,0,2,1
TX,76013,2,2,0,0,2,1
TX,76017,2,2,0,0,2,1
TX,76063,2,2,0,0,2,1
TX,76131,2,2,0,0,2,1
TX,76180,2,2,0,0,2,1
TX,76244,2,2,0,0,2,1
TX,76248,2,2,0,0,2,1
TX,77015,2,2,0,0,2,1
TX,77062,2,2,0,0,2,1
TX,77065,2,2,0,0,2,1
TX,77070,2,2,0,0,2,1
TX,77077,2,2,0,0,2,1
TX,77386,2,2,0,0,2,1
TX,77407,2,2,0,0,2,1
TX,77429,2,2,0,0,2,1
TX,77449,2,2,0,0,2,1
TX,77459,2,2,0,0,2,1
TX,77479,2,2,0,0,2,1
TX,77546,2,2,0,0,2,1
TX,77581,2,2,0,0,2,1
UT,84010,2,2,0,0,0,1
UT,84015,2,2,0,0,0,1
UT,84088,2,2,0,0,0,1
UT,84102,2,2,0,0,0,1
UT,84123,2,2,0,0,0,1
UT,84321,2,2,0,0,0,1
UT,84790,2,2,0,0,0,1
VA,20147,2,2,0,0,0,1
VA,20148,2,2,0,0,0,1
VA,23113,2,2,0,0,2,1
VA,23185,2,2,0,0,0,1
VA,23435,2,2,0,0,1,2
VA,23451,2,2,0,0,0,1
VA,23452,2,2,0,0,2,1
VA,23454,2,2,0,0,1,2
VA,23455,2,2,0,0,1,2
VA,23456,2,2,0,0,0,1
VA,23464,2,2,0,0,1,2
VA,23831,2,2,0,0,2,1
VA,24012,2,2,0,0,2,1
VA,24060,2,2,0,0,2,1
VA,24502,2,2,0,0,2,1
WA,98004,2,2,0,0,0,1
WA,98007,2,2,0,0,0,2
WA,98021,2,2,0,0,0,2
WA,98029,2,2,0,0,0,2
WA,98036,2,2,0,0,0,2
WA,98038,2,2,0,0,0,2
WA,98040,2,2,0,0,0,1
WA,98042,2,2,0,0,0,2
WA,98052,2,2,0,0,0,1
WA,98059,2,2,0,0,0,1
WA,98107,2,2,0,0,0,2
WA,98117,2,2,0,0,0,2
WA,98683,2,2,0,0,0,2
WI,53005,2,2,0,0,0,2
WI,53045,2,2,0,0,0,2
WI,53051,2,2,0,0,0,2
WI,53066,2,2,0,0,0,1
WI,53072,2,2,0,0,0,2
WI,53095,2,2,0,0,0,1
WI,53132,2,2,0,0,0,1
WI,53154,2,2,0,0,0,1
WI,53189,2,2,0,0,0,1
WI,53202,2,2,0,0,0,2
WI,53213,2,2,0,0,0,2
WI,53406,2,2,0,0,0,1
WI,53590,2,2,0,0,0,2
WI,54901,2,2,0,0,0,1
WI,54915,2,2,0,0,0,1
WI,54935,2,2,0,0,0,1
WI,54956,2,2,0,0,0,1
WV,25801,2,2,0,0,2,1
WV,26003,2,2,0,0,2,1
WV,26101,2,2,0,0,2,1
AK,99504,1,1,0,0,0,1
AK,99507,1,1,0,0,0,1
AK,99508,1,1,0,0,0,1
AK,99515,1,1,0,0,0,1
AK,99577,1,1,0,0,0,1
AK,99645,1,1,0,0,0,1
AK,99654,1,1,0,0,0,1
AK,99669,1,1,0,0,0,1
AK,99701,1,1,0,0,0,1
AK,99709,1,1,0,0,0,1
AK,99801,1,1,0,0,0,1
AL,35601,1,1,0,0,1,1
AL,35640,1,1,0,0,1,1
AL,35802,1,1,0,0,1,1
AL,35806,1,1,0,0,1,1
AL,35810,1,1,0,0,1,1
AL,35811,1,1,0,0,1,1
AL,36801,1,1,0,0,1,1
AL,36830,1,1,0,0,1,1
